Designator,Mid X,Mid Y,Rotation,Layer
C0,213.3725,-96.4,90.0,top
C1_13,158.2,-92.6,180.0,top
C1_12,184.2,-92.6,180.0,top
C1_11,164.6,-92.6,180.0,top
C1_10,177.6,-92.6,180.0,top
C1_9,213.3725,-102.9,90.0,top
C1_8,171.2,-92.6,180.0,top
C1_7,190.711159,-92.608076,180.0,top
C1_6,210.2,-92.6,180.0,top
C1_5,216.7,-92.6,180.0,top
C1_4,170.75,-119.8,0.0,top
C1_3,203.6,-92.6,180.0,top
C1_2,151.8,-92.6,180.0,top
C1,197.2,-92.6,180.0,top
C2_2,170.775,-118.0,0.0,top
C2,213.3725,-109.4,90.0,top
C3_3,213.2,-115.9,90.0,top
C3_2,162.425,-103.0,180.0,top
C3,170.825,-116.4,0.0,top
C9,145.1,-92.6,180.0,top
F1,162.415,-99.6125,270.0,top
H0,216.8725,-116.4,90.0,top
H1,216.8725,-109.9,90.0,top
H10,178.2,-89.14,180.0,top
H11,171.7,-89.14,180.0,top
H12,165.2,-89.14,180.0,top
H13,158.7,-89.14,180.0,top
H14,152.2,-89.14,180.0,top
H15,145.7,-89.14,180.0,top
H2,216.8725,-103.4,90.0,top
H3,216.86,-96.9,90.0,top
H4,217.2,-89.14,180.0,top
H5,210.7,-89.14,180.0,top
H6,204.2,-89.14,180.0,top
H7,197.7,-89.14,180.0,top
H8,191.2,-89.14,180.0,top
H9,184.7,-89.14,180.0,top
J1,145.8,-99.7,270.0,top
R1,164.2,-118.225,90.0,top
R3,154.505,-101.275,180.0,top
R4,154.505,-99.775,0.0,top
R5,154.505,-98.275,180.0,top
U1,151.1,-114.5,180.0,top
U2,165.8,-109.55,90.0,top
U3,181.43,-105.74,0.0,top
